date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:49:15	56564/56564	---M--	200	added ('OK')	text/html	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Semibold-webfont.ttf	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Semibold-webfont-2.html	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:17	202182/202182	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Semibold-webfont.svg	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Semibold-webfont.svg	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:18	27371/27371	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Semibold-webfont.eot	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Semibold-webfont.eot	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:18	27371/27371	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Semibold-webfont.eot?iefix	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Semibold-webfont86d7.eot	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:18	30568/30568	---M--	200	added ('OK')	text/html	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Bold-webfont.woff	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Bold-webfont.html	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:20	56412/56412	---M--	200	added ('OK')	text/html	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Bold-webfont.ttf	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Bold-webfont-2.html	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:22	202614/202614	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Bold-webfont.svg	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Bold-webfont.svg	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:24	4127/4127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/ss-nutanix-regular-webfont.eot	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/ss-nutanix-regular-webfont.eot	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:24	26939/26939	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Bold-webfont.eot	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Bold-webfont.eot	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:25	4728/4728	---M--	200	added ('OK')	text/html	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/ss-nutanix-regular-webfont.woff	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/ss-nutanix-regular-webfont.html	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:25	6856/6856	---M--	200	added ('OK')	text/html	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/ss-nutanix-regular-webfont.ttf	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/ss-nutanix-regular-webfont-2.html	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:25	8502/8502	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/ss-nutanix-regular-webfont.svg	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/ss-nutanix-regular-webfont.svg	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
